id,branch_code,branch_name,city,region,address,latitude,longitude,phone,status,has_atm,has_payment_terminal
7,800.000,ЦБО Центральное,Петропавловск,Северо-Казахстанская область,"ул. Жабаева, д. 194а",54.8714284,69.146303,7711,Открыто,True,True
14,900.299,ЦБО №299,Риддер,Восточно-Казахстанская область,"пр. Независимости, 16",50.3384102,83.5055402,7711,Открыто,True,True
95,500.021,ЦБО №21,Рудный,Костанайская область,"ул. Ленина, д. 153а",52.9634509,63.1451678,7711,Открыто,True,True
13,990.256,ЦБО №256,с. Аксу,Туркестанская область,"ул. Жибек Жолы, 101А",42.4187532,69.8268153,7711,Открыто,True,True
106,990.324,ЦБО №324 ,Сарыагаш,Туркестанская область,"ул.Майлыкожа, б/н",41.457831,69.16468,7711,Открыто,True,True
47,980.000,ЦБО Центральное,Семей,Абайская область,ул. Шакарима 65,50.4167187,80.2553258,7711,Открыто,True,True
46,700.326,ЦБО № 326,Степногорск,Акмолинская область,"4 мкр., здание 86 А",52.3465045,71.8890451,7711,Открыто,True,True
80,230.285,ЦБО №285,Талгар,Алматинская область,"ул.Леонова/Гагарина, 92 (возле районного Акимата)",43.3027251,77.2334146,7711,Открыто,True,True
72,240.000,ЦБО Центральное,Талдыкорган,Алматинская область,"ул.Биржан Сал, 77А",45.0155378,78.3780215,7711,Открыто,True,True
85,960.000,ЦБО Центральное,Тараз,Жамбылская область,"ул. Айтеке би, д. 6",42.8958528,71.3753572,7711,Открыто,True,True
90,960.316,ЦБО №316,Тараз,Жамбылская область,"ул. Толе Би, 110",42.9018758,71.3429547,7711,Открыто,True,True
104,600.195,ЦБО №195,Темиртау,Карагандинская область,"пр.Металлургов, 34а",50.0519164,72.9656523,7711,Открыто,True,True
26,400.011,ЦБО №11,Теренколь,Павлодарская область,"ул. Ёлгина, д. 88""а""",53.0595926,76.1131183,7711,Открыто,True,False
68,990.000,ЦБО №343,Туркестан,Туркестанская область,"пр. Тауке хана, строение 272",43.3009364,68.2615697,7711,Открыто,True,True
2,940.181,ЦБО №181,Уральск,Западно-Казахстанская область,"пр. Н.Назарбаева, д 203",51.2123688,51.3664219,7711,Открыто,True,True
15,940.309,VIP центр №309,Уральск,Западно-Казахстанская область,ул. Жунисова 99,51.203777,51.37395,7711,Открыто,True,True
71,940.000,ЦБО Центральное,Уральск,Западно-Казахстанская область,ул. Г.Караша д. 31,51.1977447,51.3722185,7711,Открыто,True,True
3,900.000,ЦБО Центральное,Усть-Каменогорск,Восточно-Казахстанская область,"ул. Кабанбай батыра, д. 120/1",49.9504074,82.6378997,7711,Открыто,True,True
9,900.296,ЦБО №296,Усть-Каменогорск,Восточно-Казахстанская область,"пр. Н. Назарбаева, 2",49.9570546,82.6127558,7711,Открыто,True,True
30,900.297,ЦБО №297,Усть-Каменогорск,Восточно-Казахстанская область,"территория АО ""УКТМК"" в здании УКК УК ТМК, п. Новая Согра",50.028349,82.763727,7711,Открыто,True,True
89,960.212,ЦБО №212,Шу,Жамбылская область,"ул. Кали Усембаев, д. 8А",43.606641,73.76121,7711,Открыто,True,True
52,950.313,ЦБО №313,Шымкент,Шымкент,"ул. Торекулова, 1а",42.3281508,69.594424,7711,Открыто,True,True
53,950.000,ЦБО Центральное,Шымкент,Шымкент,"ул. Желтоксан, д.  17/6",42.3245866,69.5971153,7711,Открыто,True,True
54,950.245,VIP-центр №245,Шымкент,Шымкент,"ул. Желтоксан, д. 17",42.3247705,69.5969195,7711,Открыто,False,False
57,950.112,ЦБО №112,Шымкент,Шымкент,"ул. Мангельдина, д. 43/1",42.3224897,69.5746079,7711,Открыто,True,True
58,950.312,ЦБО №312,Шымкент,Шымкент,"ул. Рыскулова, 22 А",42.342649,69.621899,7711,Открыто,True,True
76,950.157,ЦБО №157,Шымкент,Шымкент,"пр. Тауке-Хана, д. 8, квартира 21",42.3192851,69.5923762,7711,Открыто,True,True
60,700.263,ЦБО №263,Щучинск,Акмолинская область,"ул. Б.Момышулы, д. 29",52.9391998,70.2002844,7711,Открыто,True,False
100,400.261,ЦБО №261,Экибастуз,Павлодарская область,"ул. М.Жүсіп, д. 92/1",51.7144117,75.3328251,7711,Открыто,True,True
75,300.080,ЦБО №80,Акколь,Акмолинская область,"ул. Нурмагамбетова, д. 84",51.9954582,70.9578083,7711,Открыто,True,True
